name,price,rating,reviews_count,screen_size,processor,ram,storage,gpu,url,image,source
Apple New 2026 MacBook Air MDVH4 | 15 Inch Display | Apple M5 Air | 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Midnight,"79,999",4.8,108,"15""",Apple M5,16GB,512GB SSD,,https://www.noon.com/egypt-en/new-2026-macbook-air-mdvh4-15-inch-display-apple-m5-air-10-core-cpu-10-core-gpu-16gb-ram-512gb-ssd-macos-english-keyboard-international-version-midnight/N70298802V/p/?o=e14774042a67d92d,https://f.nooncdn.com/p/pzsku/Z29FD841869CA4DE72DE1Z/45/_/1779094892/6abd8872-6386-44d6-b759-92e47a18d025.jpg?width=800,Noon
"HP Victus 15‑fa1035NE Gaming Laptop – Intel Core i5‑13500H – 16GB RAM – 512GB SSD – NVIDIA GeForce RTX 4050 – 15.6"" FHD – DOS English/Arabic Performance Blue","53,600",,,"15.6""",Intel Core i5,16GB,512GB SSD,RTX 4050,https://www.noon.com/egypt-en/hp-victus-15-fa1035ne-gaming-laptop-intel-core-i5-13500h-16gb-ram-512gb-ssd-nvidia-geforce-rtx-4050-15-6-fhd-dos-english-arabic-performance-blue/N70250830V/p/?o=d9757f452a0ea6da,https://f.nooncdn.com/p/pnsku/N70250830V/45/_/1761224042/cce1b40b-5a08-4d64-9473-45c2d5fc9c40.jpg?width=800,Noon
"Apple New 2025 MacBook Air MW0Y3 13-Inch Display, Apple M4 Chip 10-Core CPU 8-Core GPU Processor/16GB RAM/256GB SSD/macOS(International Version) Starlight","61,000",4.6,2.5K,"13""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mw0y3-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-processor-16gb-ram-256gb-ssd-macos-international-version-starlight/N70154911V/p/?o=dcfe9ce61398a47f,https://f.nooncdn.com/p/pzsku/ZF3F1E443516EAC50E4ECZ/45/_/1779094395/30bb5c81-05f9-4de7-8f65-3c8d9f7be686.jpg?width=800,Noon
Lenovo LAPTOP LENOVO LOQ ESSENTIAL 15IRX11 CPU I7 13650 HX RAM 16G DDR5 4800 HDD 512 SSD M2 NVME VGA NIVIDIA RTX5050 8G DDR7 15.6 FHD 144HZ WIN 11 HOME 2 YEARS WARRANTY 83SC001NED English/Arabic luna grey,"58,000",4.4,3,,,,,RTX5050,https://www.noon.com/egypt-en/laptop-lenovo-loq-essential-15irx11-cpu-i7-13650-hx-ram-16g-ddr5-4800-hdd-512-ssd-m2-nvme-vga-nividia-rtx5050-8g-ddr7-15-6-fhd-144hz-win-11-home-2-years-warranty-83sc001ned-english-arabic-luna-grey/N70269988V/p/?o=abd3fe10a8cfbdaa,https://f.nooncdn.com/p/pnsku/N70269988V/45/_/1766080574/ac5baaf7-7ce4-4182-8ea5-ed942f6cb001.jpg?width=800,Noon
"Lenovo LOQ 15IAX9E Gaming Laptop, 15.6"" FHD 144Hz IPS Display, Intel Core i5-12450HX, 16GB DDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB, ENG Keyboard, Luna English Luna Grey","41,399",5.0,4,"15.6""",Intel Core i5-12450HX,,512GB SSD,RTX 3050,https://www.noon.com/egypt-en/loq-15iax9e-gaming-laptop-15-6-fhd-144hz-ips-display-intel-core-i5-12450hx-16gb-ddr5-ram-512gb-ssd-nvidia-geforce-rtx-3050-6gb-eng-keyboard-luna-english-luna-grey/N70277683V/p/?o=bf67ccf8b45cf6ad,https://f.nooncdn.com/p/pnsku/N70277683V/45/_/1768285391/1141dae6-2399-4b28-ad35-61e0a1413f79.jpg?width=800,Noon
"DELL Vostro 3520 Laptop With 15.6-inch FHD (1920x1080) Display, Core i5-1235U Processor/8GB RAM/512GB SSD//Intel UHD Graphics/Windows 10 English/Arabic Black","26,141",,,"15.6""",,8GB,512GB SSD,Intel UHD,https://www.noon.com/egypt-en/vostro-3520-laptop-with-15-6-inch-fhd-1920x1080-display-core-i5-1235u-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-windows-10-english-arabic-black/N70082783V/p/?o=f3fe7984229cd6ef,https://f.nooncdn.com/p/pnsku/N70082783V/45/_/1717479088/6f5ca3b7-5bdd-403f-bebc-6defe1930f57.jpg?width=800,Noon
"Apple New 2025 MacBook Air MW123 13-Inch Display, Apple M4 Chip 10-Core CPU 8-Core GPU Processor/16GB RAM/256GB SSD/macOS(International Version) Midnight","62,000",4.6,2.5K,"13""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mw123-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-processor-16gb-ram-256gb-ssd-macos-international-version-midnight/N70154912V/p/?o=ebda150932b95f1a,https://f.nooncdn.com/p/pzsku/ZEABAA7F7FCF5AD7AA08CZ/45/_/1779095951/722e9936-9d6e-48fa-b9e7-203ef6c263ed.jpg?width=800,Noon
Apple New 2026 MacBook Air MDHE4 13 Inch Display | M5 Air 10-Core CPU 8-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | Midnight,"67,499",4.8,108,"13""",,16GB,512GB SSD,,https://www.noon.com/egypt-en/new-2026-macbook-air-mdhe4-13-inch-display-m5-air-10-core-cpu-8-core-gpu-16gb-ram-512gb-ssd-macos-english-keyboard-midnight/N70298796V/p/?o=f03e6344db7a4d7c,https://f.nooncdn.com/p/pzsku/ZFFB4409AFF2F401AB837Z/45/_/1779095085/5f9f3e90-1ed2-4a77-9315-ab45e42b1aed.jpg?width=800,Noon
Lenovo LOQ 15IAX9E Core i5-12450HX 512GB SSD 16GB Ram Nvidia GeForce RTX 2050 4GB GDDR6 15.6 Inch FHD - Luna Grey - 83LK0062ED - 2Y English/Arabic Luna Grey,"36,600",5.0,1,"15.6""",,16GB,512GB SSD,RTX 2050,https://www.noon.com/egypt-en/lenovo-loq-15iax9e-core-i5-12450hx-512gb-ssd-16gb-ram-nvidia-geforce-rtx-2050-4gb-gddr6-15-6-inch-fhd-luna-grey-83lk0062ed-2y-english-arabic-luna-grey/N70202375V/p/?o=fee236740fab4d8a,https://f.nooncdn.com/p/pnsku/N70202375V/45/_/1757584048/84bc1e6d-1462-4394-b956-b4a0ec08cbb8.jpg?width=800,Noon
"Apple New 2025 MacBook Air MW1M3 15-Inch Display, Apple M4 Chip 10-Core CPU 10-Core GPU Processor/16GB RAM/512GB SSD/macOS(International Version) Midnight","78,773",4.6,2.5K,"15""",Apple M4,16GB,512GB SSD,,https://www.noon.com/egypt-en/new-2025-macbook-air-mw1m3-15-inch-display-apple-m4-chip-10-core-cpu-10-core-gpu-processor-16gb-ram-512gb-ssd-macos-international-version-midnight/N70154909V/p/?o=f4b7009f87b65b8c,https://f.nooncdn.com/p/pzsku/Z8EC3F570298536C49890Z/45/_/1779094455/c5a630b5-3549-46dc-8c89-7ac0f6baf195.jpg?width=800,Noon
